refshort,time_since_fragmentation
Aizen_1994,intermediate (20-100 years)
Almeida-Gomes_2014,intermediate (20-100 years)
Arroyo_Rodriguez_2016,intermediate (20-100 years)
Banks_Leite_2009,intermediate (20-100 years)
Bolger_1997,intermediate (20-100 years)
Bossart_2006,intermediate (20-100 years)
Bossart_2016,intermediate (20-100 years)
Bragagnolo_2007,intermediate (20-100 years)
Cayuela_2006,intermediate (20-100 years)
Develey_2004,intermediate (20-100 years)
Didham_1999,intermediate (20-100 years)
Fujita_2008,intermediate (20-100 years)
Garmendia_etal_2013,intermediate (20-100 years)
Goodman_2000,intermediate (20-100 years)
Lima_1999_a,intermediate (20-100 years)
Lima_1999_b,intermediate (20-100 years)
Magnago_2015,intermediate (20-100 years)
Nogueira_2016,intermediate (20-100 years)
Pinho_2019e,intermediate (20-100 years)
Pinho_2019f,intermediate (20-100 years)
Rocha_2016,intermediate (20-100 years)
Safar_2022a,intermediate (20-100 years)
Silva_2022,intermediate (20-100 years)
Soto_2022,intermediate (20-100 years)
Struebig_2008,intermediate (20-100 years)
Uehara_Prado_2007,intermediate (20-100 years)
Bernard_2007,long (more than 100 years)
Bogoni_2016,long (more than 100 years)
Chiarello_1999,long (more than 100 years)
Gaublomme_2008,long (more than 100 years)
Gibb_2002,long (more than 100 years)
Montgomery_2014,long (more than 100 years)
Nemesio_2010,long (more than 100 years)
Pinho_2019c,long (more than 100 years)
Pinho_2019d,long (more than 100 years)
Raheem_2009,long (more than 100 years)
Vasconcelos_2006,long (more than 100 years)
