"","id","model","term","Estimate","Std. Error","z value","Pr(>|z|)"
"1",1,"Alpha (all pairs)","(Intercept)",2.87478730693632,0.154635951325772,18.590678831729,3.82308622433397e-77
"2",2,"Alpha (all pairs)","patch_typefragmented",-0.190977294581231,0.0592133666370154,-3.22523959416028,0.00125867283147715
"3",1,"Beta (all pairs)","(Intercept)",1.4296057899459,0.0336893451864086,42.4349533075119,0
"4",2,"Beta (all pairs)","patch_typefragmented",0.0996297006014614,0.0391594421274662,2.54420633157033,0.0109526366053419
"5",1,"Gamma (all pairs)","(Intercept)",3.20499956630236,0.159368849117696,20.1105773433516,5.96257884988558e-90
"6",2,"Gamma (all pairs)","patch_typefragmented",-0.116070030354658,0.0581641786868029,-1.99555865784095,0.0459819833412447
"7",1,"Alpha (all pairs) - q = 0","(Intercept)",2.32315515577629,0.179417811686537,12.9482972394909,2.40223392474762e-38
"8",2,"Alpha (all pairs) - q = 0","patch_typefragmented",-0.103170358427268,0.0296101888763737,-3.48428572536358,0.000493452398991635
"9",1,"Beta (all pairs) - q = 0","(Intercept)",1.63830725798206,0.0443417283564027,36.9473026584336,8.04733299881401e-299
"10",2,"Beta (all pairs) - q = 0","patch_typefragmented",0.0395087900952803,0.0214106801855352,1.84528421110002,0.0649962060244804
"11",1,"Gamma (all pairs) - q = 0","(Intercept)",2.8108528822313,0.183182961912039,15.3445104986402,3.85455910358411e-53
"12",2,"Gamma (all pairs) - q = 0","patch_typefragmented",-0.0871890307581153,0.0356339947475666,-2.44679361311488,0.0144133346963404
"13",1,"Alpha (all pairs) - q = 2","(Intercept)",1.82338620098579,0.138094186546416,13.2039316540882,8.32727594386191e-40
"14",2,"Alpha (all pairs) - q = 2","patch_typefragmented",-0.181808670381889,0.0477990477638867,-3.80360444166107,0.00014260582875814
"15",1,"Beta (all pairs) - q = 2","(Intercept)",1.3609846273723,0.0478105986920031,28.4661699415185,3.07404098035391e-178
"16",2,"Beta (all pairs) - q = 2","patch_typefragmented",0.0322526139912891,0.0283845318633336,1.1362742970918,0.255841784373874
"17",1,"Gamma (all pairs) - q = 2","(Intercept)",2.13542656461133,0.146367810075864,14.5894549047671,3.27806315923964e-48
"18",2,"Gamma (all pairs) - q = 2","patch_typefragmented",-0.161942194484169,0.0621934999472758,-2.60384436671766,0.00921846067493666
"19",1,"Alpha (nearest pairs)","(Intercept)",2.84392017312087,0.160299554688816,17.7412855490564,2.01277024738945e-70
"20",2,"Alpha (nearest pairs)","patch_typefragmented",-0.212050461180859,0.0513967119115557,-4.12575928097812,3.69513613759543e-05
"21",1,"Beta (nearest pairs)","(Intercept)",1.46153088664354,0.0375510917729614,38.921128990873,0
"22",2,"Beta (nearest pairs)","patch_typefragmented",0.0309980573919424,0.034665145215336,0.894213977740059,0.371207414952719
"23",1,"Gamma (nearest pairs)","(Intercept)",33.6897249661913,4.98804348851453,6.75409607870607,1.43728485951592e-11
"24",2,"Gamma (nearest pairs)","patch_typefragmented",-6.48387681963264,2.58035652742828,-2.51278331141891,0.0119782883251038
"25",1,"Alpha (nearest pairs) - q = 0","(Intercept)",2.31842448127838,0.179941150664391,12.8843484256832,5.51392107083543e-38
"26",2,"Alpha (nearest pairs) - q = 0","patch_typefragmented",-0.100130242542372,0.0308374426048845,-3.24703458147699,0.00116614219642115
"27",1,"Beta (nearest pairs) - q = 0","(Intercept)",1.82476626218468,0.0713257543289788,25.583553645549,2.32537592170131e-144
"28",2,"Beta (nearest pairs) - q = 0","patch_typefragmented",-0.00146191395889557,0.0260359155650653,-0.0561498962939159,0.955222395111551
"29",1,"Gamma (nearest pairs) - q = 0","(Intercept)",2.88919805028199,0.179214729306319,16.1214318793167,1.80380850047673e-58
"30",2,"Gamma (nearest pairs) - q = 0","patch_typefragmented",-0.0969370332179421,0.0349685081195215,-2.77212378882776,0.00556918533802381
"31",1,"Alpha (nearest pairs) - q = 2","(Intercept)",1.81565801286731,0.138069845672568,13.1502863932587,1.69531107034025e-39
"32",2,"Alpha (nearest pairs) - q = 2","patch_typefragmented",-0.17857258862947,0.0481235174249974,-3.71071355928592,0.000206675857295652
"33",1,"Beta (nearest pairs) - q = 2","(Intercept)",1.4156745913977,0.0631083911072718,22.4324304036104,1.89971127944638e-111
"34",2,"Beta (nearest pairs) - q = 2","patch_typefragmented",0.00623341043018561,0.0250390667970422,0.248947394114622,0.803401473869122
"35",1,"Gamma (nearest pairs) - q = 2","(Intercept)",2.15349200561985,0.143356445256912,15.0219406023952,5.27407549848638e-51
"36",2,"Gamma (nearest pairs) - q = 2","patch_typefragmented",-0.1795736634353,0.0599480915755893,-2.99548590648417,0.00274007963333372
